XLabelWavenumber,YLabelAbsorbance
648.556784,0.196777
652.284122,0.194375
656.011459,0.194149
659.738797,0.192535
663.466135,0.189238
667.193473,0.188954
670.920811,0.189482
674.648149,0.187032
678.375486,0.182658
682.102824,0.179307
685.830162,0.177020
689.557500,0.174660
693.284838,0.173280
697.012176,0.173356
700.739513,0.173022
704.466851,0.172487
708.194189,0.171232
711.921527,0.168582
715.648865,0.164430
719.376203,0.160778
723.103540,0.158044
726.830878,0.154797
730.558216,0.152386
734.285554,0.152597
738.012892,0.154284
741.740230,0.156024
745.467567,0.157383
749.194905,0.156910
752.922243,0.155296
756.649581,0.157682
760.376919,0.163312
764.104257,0.163726
767.831594,0.158038
771.558932,0.153811
775.286270,0.151678
779.013608,0.149137
782.740946,0.146442
786.468284,0.144297
790.195621,0.142281
793.922959,0.140923
797.650297,0.141469
801.377635,0.143495
805.104973,0.143915
808.832311,0.142108
812.559649,0.139394
816.286986,0.135004
820.014324,0.127776
823.741662,0.120269
827.469000,0.115508
831.196338,0.113460
834.923676,0.112727
838.651013,0.112546
842.378351,0.113049
846.105689,0.113938
849.833027,0.114942
853.560365,0.116725
857.287703,0.119182
861.015040,0.121899
864.742378,0.125350
868.469716,0.129080
872.197054,0.130199
875.924392,0.128396
879.651730,0.126850
883.379067,0.126039
887.106405,0.125240
890.833743,0.124677
894.561081,0.123523
898.288419,0.121658
902.015757,0.119938
905.743094,0.119126
909.470432,0.119695
913.197770,0.121042
916.925108,0.122203
920.652446,0.123217
924.379784,0.125023
928.107121,0.128196
931.834459,0.132088
935.561797,0.135475
939.289135,0.137447
943.016473,0.138192
946.743811,0.139347
950.471148,0.142399
954.198486,0.146861
957.925824,0.151173
961.653162,0.154359
965.380500,0.157031
969.107838,0.160806
972.835176,0.166042
976.562513,0.171856
980.289851,0.177173
984.017189,0.181805
987.744527,0.187175
991.471865,0.194515
995.199203,0.203873
998.926540,0.214647
1002.653878,0.225869
1006.381216,0.236968
1010.108554,0.246453
1013.835892,0.251719
1017.563230,0.255518
1021.290567,0.262527
1025.017905,0.270324
1028.745243,0.273939
1032.472581,0.271695
1036.199919,0.265623
1039.927257,0.259981
1043.654594,0.256796
1047.381932,0.255552
1051.109270,0.256000
1054.836608,0.257499
1058.563946,0.258738
1062.291284,0.258596
1066.018621,0.255736
1069.745959,0.249876
1073.473297,0.242621
1077.200635,0.234610
1080.927973,0.225503
1084.655311,0.215603
1088.382648,0.204525
1092.109986,0.192240
1095.837324,0.180535
1099.564662,0.171206
1103.292000,0.165312
1107.019338,0.163274
1110.746675,0.164005
1114.474013,0.165016
1118.201351,0.164049
1121.928689,0.160330
1125.656027,0.154131
1129.383365,0.147431
1133.110703,0.143509
1136.838040,0.143183
1140.565378,0.144039
1144.292716,0.143899
1148.020054,0.142644
1151.747392,0.140354
1155.474730,0.137002
1159.202067,0.133588
1162.929405,0.130991
1166.656743,0.129175
1170.384081,0.127770
1174.111419,0.126287
1177.838757,0.124473
1181.566094,0.122299
1185.293432,0.119966
1189.020770,0.118337
1192.748108,0.117917
1196.475446,0.118628
1200.202784,0.120325
1203.930121,0.122583
1207.657459,0.124757
1211.384797,0.126405
1215.112135,0.127514
1218.839473,0.128478
1222.566811,0.129943
1226.294148,0.132406
1230.021486,0.135698
1233.748824,0.139318
1237.476162,0.141907
1241.203500,0.142140
1244.930838,0.140904
1248.658175,0.139789
1252.385513,0.139165
1256.112851,0.138723
1259.840189,0.138132
1263.567527,0.137441
1267.294865,0.136947
1271.022202,0.136796
1274.749540,0.136668
1278.476878,0.136636
1282.204216,0.136666
1285.931554,0.136424
1289.658892,0.135239
1293.386230,0.132932
1297.113567,0.130783
1300.840905,0.129699
1304.568243,0.129101
1308.295581,0.128205
1312.022919,0.127153
1315.750257,0.126873
1319.477594,0.127038
