XLabelWavenumber,YLabelAbsorbance
648.556784,0.233687
652.284122,0.228171
656.011459,0.228909
659.738797,0.231383
663.466135,0.228815
667.193473,0.226237
670.920811,0.226758
674.648149,0.223178
678.375486,0.215918
682.102824,0.210550
685.830162,0.206369
689.557500,0.202521
693.284838,0.201985
697.012176,0.203221
700.739513,0.204656
704.466851,0.205449
708.194189,0.205556
711.921527,0.206185
715.648865,0.204812
719.376203,0.201431
723.103540,0.195890
726.830878,0.188250
730.558216,0.183335
734.285554,0.181834
738.012892,0.180696
741.740230,0.180871
745.467567,0.180774
749.194905,0.178071
752.922243,0.175635
756.649581,0.177893
760.376919,0.182445
764.104257,0.180910
767.831594,0.174375
771.558932,0.170454
775.286270,0.169364
779.013608,0.169168
782.740946,0.169189
786.468284,0.168584
790.195621,0.167989
793.922959,0.169166
797.650297,0.173155
801.377635,0.180401
805.104973,0.189618
808.832311,0.195823
812.559649,0.194412
816.286986,0.184133
820.014324,0.165786
823.741662,0.145873
827.469000,0.133606
831.196338,0.130525
834.923676,0.131670
838.651013,0.133825
842.378351,0.136829
846.105689,0.140855
849.833027,0.145591
853.560365,0.151061
857.287703,0.158575
861.015040,0.169573
864.742378,0.180940
868.469716,0.185403
872.197054,0.181706
875.924392,0.175519
879.651730,0.171097
883.379067,0.168965
887.106405,0.168044
890.833743,0.167796
894.561081,0.167673
898.288419,0.166296
902.015757,0.163808
905.743094,0.162413
909.470432,0.163434
913.197770,0.166033
916.925108,0.168906
920.652446,0.172494
924.379784,0.177959
928.107121,0.185103
931.834459,0.192511
935.561797,0.198820
939.289135,0.203457
943.016473,0.206624
946.743811,0.208607
950.471148,0.210898
954.198486,0.215476
957.925824,0.221275
961.653162,0.226442
965.380500,0.231776
969.107838,0.239289
972.835176,0.249453
976.562513,0.260737
980.289851,0.272308
984.017189,0.284973
987.744527,0.298773
991.471865,0.312630
995.199203,0.326107
998.926540,0.338961
1002.653878,0.350099
1006.381216,0.358005
1010.108554,0.361306
1013.835892,0.361665
1017.563230,0.363544
1021.290567,0.366840
1025.017905,0.367913
1028.745243,0.364502
1032.472581,0.356100
1036.199919,0.344989
1039.927257,0.335522
1043.654594,0.330090
1047.381932,0.329057
1051.109270,0.330772
1054.836608,0.331391
1058.563946,0.327834
1062.291284,0.320092
1066.018621,0.310061
1069.745959,0.300589
1073.473297,0.293406
1077.200635,0.287846
1080.927973,0.282764
1084.655311,0.277728
1088.382648,0.272057
1092.109986,0.264786
1095.837324,0.255281
1099.564662,0.244555
1103.292000,0.235216
1107.019338,0.229110
1110.746675,0.225682
1114.474013,0.223095
1118.201351,0.219339
1121.928689,0.213466
1125.656027,0.207367
1129.383365,0.204604
1133.110703,0.207290
1136.838040,0.214831
1140.565378,0.222936
1144.292716,0.227355
1148.020054,0.227633
1151.747392,0.225377
1155.474730,0.222286
1159.202067,0.219179
1162.929405,0.215116
1166.656743,0.209050
1170.384081,0.201081
1174.111419,0.192058
1177.838757,0.183106
1181.566094,0.175435
1185.293432,0.169429
1189.020770,0.165162
1192.748108,0.162651
1196.475446,0.161583
1200.202784,0.161280
1203.930121,0.161166
1207.657459,0.161286
1211.384797,0.161826
1215.112135,0.162280
1218.839473,0.162921
1222.566811,0.164822
1226.294148,0.168240
1230.021486,0.172002
1233.748824,0.175388
1237.476162,0.177090
1241.203500,0.175911
1244.930838,0.172802
1248.658175,0.169664
1252.385513,0.167403
1256.112851,0.165766
1259.840189,0.164140
1263.567527,0.162509
1267.294865,0.160899
1271.022202,0.159423
1274.749540,0.157947
1278.476878,0.156927
1282.204216,0.155798
1285.931554,0.153896
1289.658892,0.151477
1293.386230,0.149485
1297.113567,0.148540
1300.840905,0.148415
1304.568243,0.148131
1308.295581,0.147271
1312.022919,0.146147
1315.750257,0.145440
1319.477594,0.144455
1323.204932,0.142630
1326.932270,0.141177
1330.659608,0.140525
1334.386946,0.139990
1338.114284,0.141763
1341.841621,0.144044
1345.568959,0.145047
1349.296297,0.147696
1353.023635,0.152146
1356.750973,0.155929
1360.478311,0.160157
1364.205648,0.164567
1367.932986,0.164643
1371.660324,0.164321
1375.387662,0.165189
1379.115000,0.161212
1382.842338,0.153896
1386.569675,0.148059
1390.297013,0.143180
1394.024351,0.140543
1397.751689,0.140334
1401.479027,0.138120
1405.206365,0.136300
1408.933702,0.135962
1412.661040,0.135449
1416.388378,0.135586
1420.115716,0.136855
1423.843054,0.134933
1427.570392,0.134427
1431.297729,0.135013
1435.025067,0.137789
1438.752405,0.140279
1442.479743,0.138214
1446.207081,0.137490
1449.934419,0.136892
1453.661757,0.135316
1457.389094,0.137067
1461.116432,0.132739
1464.843770,0.125498
1468.571108,0.113288
1472.298446,0.098687
1476.025784,0.089256
1479.753121,0.085998
1483.480459,0.084103
1487.207797,0.085727
1490.935135,0.090079
1494.662473,0.091962
1498.389811,0.095968
1502.117148,0.094744
1505.844486,0.098992
1509.571824,0.109416
1513.299162,0.107286
1517.026500,0.105973
1520.753838,0.107910
1524.481175,0.108780
1528.208513,0.106365
1531.935851,0.104189
1535.663189,0.101741
1539.390527,0.103902
1543.117865,0.111117
1546.845202,0.108121
1550.572540,0.105155
1554.299878,0.101925
1558.027216,0.107339
1561.754554,0.109002
1565.481892,0.105318
1569.209229,0.107119
1572.936567,0.109758
1576.663905,0.115579
1580.391243,0.118850
1584.118581,0.120046
1587.845919,0.122755
1591.573256,0.125277
1595.300594,0.127328
1599.027932,0.128215
1602.755270,0.127671
1606.482608,0.126323
1610.209946,0.123523
1613.937284,0.121469
1617.664621,0.122257
1621.391959,0.122042
1625.119297,0.124555
1628.846635,0.125432
1632.573973,0.125983
1636.301311,0.135857
1640.028648,0.138336
1643.755986,0.137552
1647.483324,0.140566
1651.210662,0.144252
1654.938000,0.146841
1658.665338,0.139758
1662.392675,0.133280
1666.120013,0.127159
1669.847351,0.121824
1673.574689,0.117050
1677.302027,0.111055
1681.029365,0.107325
1684.756702,0.111344
1688.484040,0.112098
1692.211378,0.110155
1695.938716,0.112341
1699.666054,0.119209
1703.393392,0.119260
1707.120729,0.114261
1710.848067,0.107076
1714.575405,0.101831
1718.302743,0.101169
1722.030081,0.098851
1725.757419,0.097984
1729.484756,0.100373
1733.212094,0.113605
1736.939432,0.130754
1740.666770,0.139592
1744.394108,0.140526
1748.121446,0.126979
1751.848783,0.099608
1755.576121,0.076647
1759.303459,0.059222
1763.030797,0.048677
1766.758135,0.043709
1770.485473,0.042105
1774.212811,0.041059
1777.940148,0.039575
1781.667486,0.037967
1785.394824,0.035911
1789.122162,0.033343
1792.849500,0.031348
1796.576838,0.028636
1800.304175,0.026808
1804.031513,0.025160
1807.758851,0.023921
1811.486189,0.022647
1815.213527,0.021734
1818.940865,0.020939
1822.668202,0.020918
1826.395540,0.020998
1830.122878,0.021230
1833.850216,0.020553
1837.577554,0.020310
1841.304892,0.020011
1845.032229,0.020238
1848.759567,0.020012
1852.486905,0.019870
1856.214243,0.019226
1859.941581,0.019276
1863.668919,0.019165
1867.396256,0.019156
1871.123594,0.019205
1874.850932,0.019316
1878.578270,0.019349
1882.305608,0.019423
1886.032946,0.018754
1889.760283,0.018724
1893.487621,0.018704
1897.214959,0.018552
1900.942297,0.017842
1904.669635,0.017989
1908.396973,0.017738
1912.124310,0.017576
1915.851648,0.017242
1919.578986,0.016916
1923.306324,0.016342
1927.033662,0.016350
1930.761000,0.015778
1934.488338,0.016285
1938.215675,0.015660
1941.943013,0.014308
1945.670351,0.014236
1949.397689,0.014961
1953.125027,0.013026
1956.852365,0.011494
1960.579702,0.010214
1964.307040,0.009692
1968.034378,0.007790
1971.761716,0.006613
1975.489054,0.005122
