XLabelWavenumber,YLabelAbsorbance
648.556784,0.189168
652.284122,0.188032
656.011459,0.186577
659.738797,0.191509
663.466135,0.190490
667.193473,0.189198
670.920811,0.187240
674.648149,0.183778
678.375486,0.180797
682.102824,0.178365
685.830162,0.176148
689.557500,0.175385
693.284838,0.175269
697.012176,0.176236
700.739513,0.177669
704.466851,0.178620
708.194189,0.178330
711.921527,0.177318
715.648865,0.175714
719.376203,0.173110
723.103540,0.168194
726.830878,0.161805
730.558216,0.156610
734.285554,0.154255
738.012892,0.153324
741.740230,0.152502
745.467567,0.151217
749.194905,0.149618
752.922243,0.147864
756.649581,0.149112
760.376919,0.151972
764.104257,0.151289
767.831594,0.147315
771.558932,0.143562
775.286270,0.140840
779.013608,0.139170
782.740946,0.137872
786.468284,0.136417
790.195621,0.134948
793.922959,0.134634
797.650297,0.135171
801.377635,0.136427
805.104973,0.138500
808.832311,0.140785
812.559649,0.141066
816.286986,0.137429
820.014324,0.129682
823.741662,0.121407
827.469000,0.116597
831.196338,0.115652
834.923676,0.116473
838.651013,0.117523
842.378351,0.118576
846.105689,0.119636
849.833027,0.120895
853.560365,0.122737
857.287703,0.125406
861.015040,0.128873
864.742378,0.132290
868.469716,0.134373
872.197054,0.134605
875.924392,0.133484
879.651730,0.132098
883.379067,0.131374
887.106405,0.131555
890.833743,0.132136
894.561081,0.132798
898.288419,0.133028
902.015757,0.132416
905.743094,0.132177
909.470432,0.133300
913.197770,0.135439
916.925108,0.137611
920.652446,0.139622
924.379784,0.142301
928.107121,0.145641
931.834459,0.148883
935.561797,0.152067
939.289135,0.155020
943.016473,0.157611
946.743811,0.160365
950.471148,0.164061
954.198486,0.168667
957.925824,0.173331
961.653162,0.177575
965.380500,0.181875
969.107838,0.187092
972.835176,0.193890
976.562513,0.201745
980.289851,0.209443
984.017189,0.216637
987.744527,0.223304
991.471865,0.229422
995.199203,0.235019
998.926540,0.240260
1002.653878,0.245128
1006.381216,0.249254
1010.108554,0.252032
1013.835892,0.253599
1017.563230,0.255016
1021.290567,0.255788
1025.017905,0.254710
1028.745243,0.251490
1032.472581,0.246249
1036.199919,0.240204
1039.927257,0.235181
1043.654594,0.231733
1047.381932,0.229516
1051.109270,0.227955
1054.836608,0.225905
1058.563946,0.222398
1062.291284,0.217767
1066.018621,0.213559
1069.745959,0.210978
1073.473297,0.209137
1077.200635,0.206479
1080.927973,0.202759
1084.655311,0.198630
1088.382648,0.194339
1092.109986,0.189821
1095.837324,0.185032
1099.564662,0.179984
1103.292000,0.175204
1107.019338,0.171466
1110.746675,0.169070
1114.474013,0.167387
1118.201351,0.165048
1121.928689,0.161201
1125.656027,0.157144
