XLabelWavenumber,YLabelAbsorbance
648.556784,0.191789
652.284122,0.188203
656.011459,0.189359
659.738797,0.190943
663.466135,0.188641
667.193473,0.188370
670.920811,0.190680
674.648149,0.188691
678.375486,0.183199
682.102824,0.179158
685.830162,0.176808
689.557500,0.174724
693.284838,0.173662
697.012176,0.174255
700.739513,0.176039
704.466851,0.177854
708.194189,0.179505
711.921527,0.180552
715.648865,0.179295
719.376203,0.176376
723.103540,0.170657
726.830878,0.163012
730.558216,0.157483
734.285554,0.155211
738.012892,0.154159
741.740230,0.153394
745.467567,0.152447
749.194905,0.150348
752.922243,0.148750
756.649581,0.150514
760.376919,0.154550
764.104257,0.154216
767.831594,0.149058
771.558932,0.145858
775.286270,0.145087
779.013608,0.144473
782.740946,0.144069
786.468284,0.143512
790.195621,0.142510
793.922959,0.143100
797.650297,0.146166
801.377635,0.151470
805.104973,0.158249
808.832311,0.163171
812.559649,0.162109
816.286986,0.153128
820.014324,0.137934
823.741662,0.123151
827.469000,0.114810
831.196338,0.112927
834.923676,0.114400
838.651013,0.116664
842.378351,0.119037
846.105689,0.122055
849.833027,0.125921
853.560365,0.130682
857.287703,0.136482
861.015040,0.144025
864.742378,0.151529
868.469716,0.154432
872.197054,0.152002
875.924392,0.147870
879.651730,0.144627
883.379067,0.142829
887.106405,0.142173
890.833743,0.142227
894.561081,0.142406
898.288419,0.141527
902.015757,0.139543
905.743094,0.138328
909.470432,0.139376
913.197770,0.141865
916.925108,0.144340
920.652446,0.147365
924.379784,0.151996
928.107121,0.157717
931.834459,0.163419
935.561797,0.168663
939.289135,0.172920
943.016473,0.175681
946.743811,0.177556
950.471148,0.180091
954.198486,0.184176
957.925824,0.188915
961.653162,0.193088
965.380500,0.197173
969.107838,0.202852
972.835176,0.210607
976.562513,0.219237
980.289851,0.227710
984.017189,0.236480
987.744527,0.245783
991.471865,0.254773
995.199203,0.263303
998.926540,0.271419
1002.653878,0.278169
1006.381216,0.282627
1010.108554,0.284409
1013.835892,0.284611
1017.563230,0.285899
1021.290567,0.287753
1025.017905,0.287513
1028.745243,0.284106
1032.472581,0.277627
1036.199919,0.269882
1039.927257,0.263828
1043.654594,0.260513
1047.381932,0.259519
1051.109270,0.259867
1054.836608,0.259461
1058.563946,0.256402
1062.291284,0.250709
1066.018621,0.243945
1069.745959,0.237829
1073.473297,0.233087
1077.200635,0.229266
1080.927973,0.225732
1084.655311,0.222135
1088.382648,0.218091
1092.109986,0.212877
1095.837324,0.205793
1099.564662,0.197749
1103.292000,0.190689
1107.019338,0.185935
1110.746675,0.183507
1114.474013,0.181774
1118.201351,0.178581
1121.928689,0.173387
1125.656027,0.168328
1129.383365,0.166571
1133.110703,0.169649
1136.838040,0.176553
1140.565378,0.183781
1144.292716,0.188094
1148.020054,0.189055
1151.747392,0.188086
1155.474730,0.186386
1159.202067,0.184133
1162.929405,0.180499
1166.656743,0.174978
1170.384081,0.167932
1174.111419,0.159948
1177.838757,0.151851
1181.566094,0.144621
1185.293432,0.138777
1189.020770,0.134502
1192.748108,0.131693
1196.475446,0.130156
1200.202784,0.129479
1203.930121,0.129392
1207.657459,0.129758
1211.384797,0.130349
1215.112135,0.130739
1218.839473,0.131330
1222.566811,0.133014
1226.294148,0.135804
1230.021486,0.138833
1233.748824,0.141588
1237.476162,0.143111
1241.203500,0.142452
1244.930838,0.140060
1248.658175,0.137504
1252.385513,0.135691
1256.112851,0.134365
1259.840189,0.132901
1263.567527,0.131260
1267.294865,0.129798
1271.022202,0.128626
1274.749540,0.127295
1278.476878,0.125987
1282.204216,0.124672
1285.931554,0.122862
1289.658892,0.120590
