XLabelWavenumber,YLabelAbsorbance
648.556784,0.235384
652.284122,0.239098
656.011459,0.236389
659.738797,0.232674
663.466135,0.231369
667.193473,0.230679
670.920811,0.228788
674.648149,0.223327
678.375486,0.218266
682.102824,0.214490
685.830162,0.210567
689.557500,0.208731
693.284838,0.207755
697.012176,0.207381
700.739513,0.208291
704.466851,0.208960
708.194189,0.208703
711.921527,0.206784
715.648865,0.204476
719.376203,0.202779
723.103540,0.197081
726.830878,0.189221
730.558216,0.183821
734.285554,0.180520
738.012892,0.178874
741.740230,0.179025
745.467567,0.178841
749.194905,0.175814
752.922243,0.172654
756.649581,0.174190
760.376919,0.177997
764.104257,0.177610
767.831594,0.173013
771.558932,0.168955
775.286270,0.166424
779.013608,0.164266
782.740946,0.161999
786.468284,0.160040
790.195621,0.158289
793.922959,0.157399
797.650297,0.158467
801.377635,0.161765
805.104973,0.166489
808.832311,0.170988
812.559649,0.172265
816.286986,0.166543
820.014324,0.153561
823.741662,0.139448
827.469000,0.130813
831.196338,0.128056
834.923676,0.127899
838.651013,0.128421
842.378351,0.129736
846.105689,0.131750
849.833027,0.134153
853.560365,0.137095
857.287703,0.141058
861.015040,0.146934
864.742378,0.153758
868.469716,0.158029
872.197054,0.157561
875.924392,0.154369
879.651730,0.151711
883.379067,0.150291
887.106405,0.149641
890.833743,0.149918
894.561081,0.150347
898.288419,0.149548
902.015757,0.147119
905.743094,0.145119
909.470432,0.145613
913.197770,0.147700
916.925108,0.149718
920.652446,0.151999
924.379784,0.155625
928.107121,0.160350
931.834459,0.165591
935.561797,0.171004
939.289135,0.175938
943.016473,0.179833
946.743811,0.182890
950.471148,0.186548
954.198486,0.191725
957.925824,0.197145
961.653162,0.201711
965.380500,0.206246
969.107838,0.212189
972.835176,0.220377
976.562513,0.230175
980.289851,0.240452
984.017189,0.250810
987.744527,0.261065
991.471865,0.271192
995.199203,0.281320
998.926540,0.291659
1002.653878,0.301485
1006.381216,0.309269
1010.108554,0.314065
1013.835892,0.316789
1017.563230,0.320253
1021.290567,0.324204
1025.017905,0.325809
1028.745243,0.323455
1032.472581,0.316666
1036.199919,0.306999
1039.927257,0.298242
1043.654594,0.293082
1047.381932,0.291696
1051.109270,0.292498
1054.836608,0.292219
1058.563946,0.288295
1062.291284,0.280935
1066.018621,0.272321
1069.745959,0.264599
1073.473297,0.258298
1077.200635,0.252570
1080.927973,0.246978
1084.655311,0.241973
1088.382648,0.236971
1092.109986,0.230778
1095.837324,0.223152
1099.564662,0.214981
1103.292000,0.207854
1107.019338,0.202759
1110.746675,0.199349
1114.474013,0.196448
1118.201351,0.192639
1121.928689,0.187127
1125.656027,0.181103
1129.383365,0.177138
1133.110703,0.177079
1136.838040,0.181151
1140.565378,0.186753
1144.292716,0.190685
1148.020054,0.191982
1151.747392,0.191381
1155.474730,0.189748
1159.202067,0.187200
1162.929405,0.183108
1166.656743,0.177095
1170.384081,0.169801
1174.111419,0.162454
1177.838757,0.155643
1181.566094,0.149610
1185.293432,0.145079
1189.020770,0.142316
1192.748108,0.140938
1196.475446,0.140768
1200.202784,0.141167
1203.930121,0.141477
1207.657459,0.141885
1211.384797,0.142558
1215.112135,0.143229
1218.839473,0.144142
1222.566811,0.146037
1226.294148,0.149146
1230.021486,0.152546
1233.748824,0.155770
1237.476162,0.157943
1241.203500,0.157856
1244.930838,0.156111
1248.658175,0.154279
