XLabelWavenumber,YLabelAbsorbance
648.556784,0.211571
652.284122,0.214513
656.011459,0.217073
659.738797,0.217145
663.466135,0.213492
667.193473,0.210511
670.920811,0.209448
674.648149,0.207053
678.375486,0.205171
682.102824,0.202697
685.830162,0.198694
689.557500,0.196622
693.284838,0.196471
697.012176,0.197747
700.739513,0.198188
704.466851,0.198321
708.194189,0.199384
711.921527,0.200557
715.648865,0.199889
719.376203,0.195958
723.103540,0.188675
726.830878,0.180889
730.558216,0.175492
734.285554,0.171611
738.012892,0.168666
741.740230,0.167114
745.467567,0.165683
749.194905,0.163417
752.922243,0.161956
756.649581,0.163869
760.376919,0.166975
764.104257,0.166337
767.831594,0.162129
771.558932,0.158161
775.286270,0.156013
779.013608,0.154525
782.740946,0.152520
786.468284,0.150801
790.195621,0.149899
793.922959,0.149955
797.650297,0.151816
801.377635,0.155551
805.104973,0.160444
808.832311,0.164522
812.559649,0.164230
816.286986,0.157133
820.014324,0.144535
823.741662,0.131297
827.469000,0.122928
831.196338,0.120691
834.923676,0.121179
838.651013,0.122009
842.378351,0.123500
846.105689,0.125856
849.833027,0.128780
853.560365,0.131985
857.287703,0.135795
861.015040,0.141508
864.742378,0.148239
868.469716,0.152138
872.197054,0.151410
875.924392,0.148241
879.651730,0.145385
883.379067,0.143608
887.106405,0.142736
890.833743,0.142829
894.561081,0.143446
898.288419,0.142951
902.015757,0.140723
905.743094,0.139141
909.470432,0.139835
913.197770,0.141744
916.925108,0.143735
920.652446,0.146118
924.379784,0.149798
928.107121,0.154587
931.834459,0.159827
935.561797,0.165196
939.289135,0.169772
943.016473,0.172864
946.743811,0.175115
950.471148,0.178070
954.198486,0.182471
957.925824,0.187107
961.653162,0.190797
965.380500,0.194341
969.107838,0.199264
972.835176,0.206488
976.562513,0.215082
980.289851,0.223729
984.017189,0.232440
987.744527,0.241056
991.471865,0.249558
995.199203,0.258070
998.926540,0.266216
1002.653878,0.273468
1006.381216,0.278908
1010.108554,0.281649
1013.835892,0.282696
1017.563230,0.284629
1021.290567,0.287032
1025.017905,0.287371
1028.745243,0.284337
1032.472581,0.277910
1036.199919,0.269962
1039.927257,0.263680
1043.654594,0.260101
1047.381932,0.258785
1051.109270,0.258880
1054.836608,0.258340
1058.563946,0.255337
1062.291284,0.249860
1066.018621,0.243564
1069.745959,0.238075
1073.473297,0.233843
1077.200635,0.230471
1080.927973,0.227326
1084.655311,0.224116
1088.382648,0.220509
1092.109986,0.215850
1095.837324,0.209340
1099.564662,0.201554
1103.292000,0.194485
1107.019338,0.189691
1110.746675,0.187351
1114.474013,0.185957
1118.201351,0.183045
1121.928689,0.177626
1125.656027,0.171990
1129.383365,0.169493
1133.110703,0.171911
1136.838040,0.178860
1140.565378,0.186671
1144.292716,0.191715
1148.020054,0.193471
1151.747392,0.193323
1155.474730,0.192171
1159.202067,0.189910
1162.929405,0.185839
1166.656743,0.179666
1170.384081,0.172298
1174.111419,0.164451
1177.838757,0.156506
1181.566094,0.149242
1185.293432,0.143213
1189.020770,0.138729
1192.748108,0.135850
1196.475446,0.134395
1200.202784,0.133891
1203.930121,0.134017
1207.657459,0.134584
1211.384797,0.135456
1215.112135,0.136181
1218.839473,0.136830
1222.566811,0.138335
1226.294148,0.141180
1230.021486,0.144436
1233.748824,0.147348
1237.476162,0.149075
1241.203500,0.148742
1244.930838,0.146713
1248.658175,0.144394
1252.385513,0.142691
1256.112851,0.141520
1259.840189,0.140145
1263.567527,0.138518
1267.294865,0.136904
1271.022202,0.135536
1274.749540,0.134140
1278.476878,0.132862
1282.204216,0.131338
1285.931554,0.129254
1289.658892,0.126781
1293.386230,0.124620
1297.113567,0.123572
1300.840905,0.123649
1304.568243,0.123483
1308.295581,0.122682
1312.022919,0.121722
1315.750257,0.120932
1319.477594,0.120030
