XLabelWavenumber,YLabelAbsorbance
648.556784,0.176366
652.284122,0.176394
656.011459,0.171301
659.738797,0.174903
663.466135,0.177298
667.193473,0.174247
670.920811,0.170821
674.648149,0.169410
678.375486,0.168440
682.102824,0.166776
685.830162,0.164296
689.557500,0.162322
693.284838,0.161843
697.012176,0.162654
700.739513,0.163074
704.466851,0.163892
708.194189,0.165542
711.921527,0.165852
715.648865,0.165087
719.376203,0.163248
723.103540,0.157750
726.830878,0.151298
730.558216,0.146583
734.285554,0.143297
738.012892,0.141622
741.740230,0.140599
745.467567,0.139660
749.194905,0.138522
752.922243,0.137017
756.649581,0.137812
760.376919,0.140536
764.104257,0.140268
767.831594,0.137162
771.558932,0.134623
775.286270,0.132507
779.013608,0.131346
782.740946,0.130675
786.468284,0.129369
790.195621,0.128468
793.922959,0.128598
797.650297,0.130155
801.377635,0.133273
805.104973,0.137642
808.832311,0.141389
812.559649,0.141019
816.286986,0.134590
820.014324,0.123290
823.741662,0.112169
827.469000,0.105871
831.196338,0.104299
834.923676,0.105085
838.651013,0.106743
842.378351,0.108619
846.105689,0.110821
849.833027,0.113320
853.560365,0.116043
857.287703,0.119699
861.015040,0.124942
864.742378,0.130517
868.469716,0.133212
872.197054,0.132020
875.924392,0.129285
879.651730,0.126954
883.379067,0.125491
887.106405,0.124913
890.833743,0.124989
894.561081,0.125267
898.288419,0.124907
902.015757,0.123423
905.743094,0.122231
909.470432,0.122881
913.197770,0.124690
916.925108,0.126381
920.652446,0.128472
924.379784,0.131882
928.107121,0.136106
931.834459,0.140256
935.561797,0.144093
939.289135,0.147345
943.016473,0.149548
946.743811,0.151230
950.471148,0.153704
954.198486,0.157178
957.925824,0.160727
961.653162,0.163778
965.380500,0.166759
969.107838,0.170940
972.835176,0.176913
976.562513,0.183640
980.289851,0.190329
984.017189,0.197132
987.744527,0.203947
991.471865,0.210630
995.199203,0.217155
998.926540,0.223441
1002.653878,0.229140
1006.381216,0.233334
1010.108554,0.235350
1013.835892,0.236093
1017.563230,0.237535
1021.290567,0.239283
1025.017905,0.239319
1028.745243,0.236860
1032.472581,0.231897
1036.199919,0.225649
1039.927257,0.220756
1043.654594,0.218048
1047.381932,0.216947
1051.109270,0.216894
1054.836608,0.216350
1058.563946,0.213801
1062.291284,0.209335
1066.018621,0.204135
1069.745959,0.199490
1073.473297,0.195907
1077.200635,0.193130
1080.927973,0.190625
1084.655311,0.187947
1088.382648,0.184790
1092.109986,0.180725
1095.837324,0.175285
1099.564662,0.169080
1103.292000,0.163532
1107.019338,0.159810
1110.746675,0.158016
1114.474013,0.156979
1118.201351,0.154800
1121.928689,0.150652
1125.656027,0.146480
1129.383365,0.144967
1133.110703,0.147247
1136.838040,0.152994
1140.565378,0.159193
1144.292716,0.162953
1148.020054,0.164175
1151.747392,0.163890
1155.474730,0.162807
1159.202067,0.160943
1162.929405,0.157625
1166.656743,0.152716
1170.384081,0.146706
1174.111419,0.140132
1177.838757,0.133531
1181.566094,0.127399
1185.293432,0.122307
1189.020770,0.118667
1192.748108,0.116411
1196.475446,0.115310
1200.202784,0.114789
1203.930121,0.114697
1207.657459,0.115023
1211.384797,0.115549
1215.112135,0.115960
1218.839473,0.116435
1222.566811,0.117767
1226.294148,0.120164
1230.021486,0.122754
1233.748824,0.125081
1237.476162,0.126501
1241.203500,0.126219
1244.930838,0.124543
1248.658175,0.122711
1252.385513,0.121310
1256.112851,0.120207
1259.840189,0.119115
1263.567527,0.117943
1267.294865,0.116760
1271.022202,0.115755
1274.749540,0.114681
1278.476878,0.113684
1282.204216,0.112542
1285.931554,0.110861
1289.658892,0.108862
1293.386230,0.107160
1297.113567,0.106319
1300.840905,0.106334
1304.568243,0.106115
1308.295581,0.105273
1312.022919,0.104313
1315.750257,0.103584
1319.477594,0.102877
1323.204932,0.101770
1326.932270,0.100769
1330.659608,0.100360
1334.386946,0.100328
1338.114284,0.101999
1341.841621,0.103721
1345.568959,0.104322
1349.296297,0.105899
1353.023635,0.108583
1356.750973,0.110924
1360.478311,0.113900
1364.205648,0.117118
1367.932986,0.117254
1371.660324,0.117204
1375.387662,0.118307
1379.115000,0.115630
1382.842338,0.110153
1386.569675,0.105686
1390.297013,0.102148
1394.024351,0.100358
1397.751689,0.100161
1401.479027,0.098237
1405.206365,0.096675
1408.933702,0.096546
1412.661040,0.096515
1416.388378,0.096909
1420.115716,0.097702
1423.843054,0.096145
1427.570392,0.096057
1431.297729,0.096972
1435.025067,0.099584
1438.752405,0.101993
1442.479743,0.100967
1446.207081,0.100946
1449.934419,0.101202
1453.661757,0.101023
1457.389094,0.103320
1461.116432,0.100602
1464.843770,0.095540
1468.571108,0.085906
1472.298446,0.073301
1476.025784,0.065078
1479.753121,0.062293
1483.480459,0.060409
1487.207797,0.061157
1490.935135,0.063793
1494.662473,0.064784
1498.389811,0.067515
1502.117148,0.066433
1505.844486,0.069522
1509.571824,0.077096
1513.299162,0.075704
1517.026500,0.075228
1520.753838,0.077336
1524.481175,0.078475
1528.208513,0.077116
1531.935851,0.075762
1535.663189,0.073828
1539.390527,0.075669
1543.117865,0.081303
1546.845202,0.078826
1550.572540,0.076610
1554.299878,0.074530
1558.027216,0.079207
1561.754554,0.080765
1565.481892,0.077837
1569.209229,0.078992
1572.936567,0.080755
1576.663905,0.084746
1580.391243,0.086716
1584.118581,0.087108
1587.845919,0.088619
1591.573256,0.090135
1595.300594,0.091431
1599.027932,0.091947
1602.755270,0.091804
1606.482608,0.091462
1610.209946,0.089940
1613.937284,0.088863
1617.664621,0.090019
1621.391959,0.090228
1625.119297,0.092076
1628.846635,0.092765
1632.573973,0.092656
1636.301311,0.098517
1640.028648,0.098944
1643.755986,0.097269
1647.483324,0.097658
1651.210662,0.098826
1654.938000,0.099664
1658.665338,0.094592
1662.392675,0.090272
1666.120013,0.086388
1669.847351,0.083323
1673.574689,0.080626
1677.302027,0.076647
1681.029365,0.073882
1684.756702,0.076191
1688.484040,0.076045
1692.211378,0.074530
1695.938716,0.075897
1699.666054,0.080573
1703.393392,0.081397
1707.120729,0.079710
1710.848067,0.076461
1714.575405,0.074614
1718.302743,0.077056
1722.030081,0.076982
1725.757419,0.078025
1729.484756,0.082307
1733.212094,0.095701
1736.939432,0.111147
1740.666770,0.118528
1744.394108,0.118956
1748.121446,0.106584
1751.848783,0.082211
1755.576121,0.062293
1759.303459,0.047411
1763.030797,0.037981
1766.758135,0.033560
1770.485473,0.031806
1774.212811,0.030887
1777.940148,0.030179
1781.667486,0.029150
1785.394824,0.027990
1789.122162,0.026744
1792.849500,0.025956
1796.576838,0.024459
1800.304175,0.023589
1804.031513,0.022903
1807.758851,0.022170
1811.486189,0.021638
1815.213527,0.021280
1818.940865,0.020801
1822.668202,0.020601
1826.395540,0.020335
1830.122878,0.020685
1833.850216,0.020532
1837.577554,0.020153
1841.304892,0.019867
1845.032229,0.020268
1848.759567,0.019823
1852.486905,0.019640
1856.214243,0.020128
1859.941581,0.020335
1863.668919,0.019605
1867.396256,0.019539
1871.123594,0.019954
1874.850932,0.019920
1878.578270,0.019466
1882.305608,0.019273
1886.032946,0.019071
1889.760283,0.018992
1893.487621,0.018756
1897.214959,0.019055
1900.942297,0.018847
1904.669635,0.018708
1908.396973,0.018592
1912.124310,0.018134
1915.851648,0.017343
1919.578986,0.017723
1923.306324,0.017967
1927.033662,0.017892
1930.761000,0.016400
1934.488338,0.015738
1938.215675,0.016057
1941.943013,0.015753
1945.670351,0.014231
1949.397689,0.014445
1953.125027,0.013624
1956.852365,0.011870
1960.579702,0.010448
1964.307040,0.010845
1968.034378,0.009643
1971.761716,0.007046
1975.489054,0.005649
1979.216392,0.006627
1982.943729,0.008667
1986.671067,0.010695
1990.398405,0.010353
1994.125743,0.009944
1997.853081,0.009057
2001.580419,0.008766
2005.307756,0.008770
2009.035094,0.008392
2012.762432,0.006717
2016.489770,0.005914
2020.217108,0.005303
2023.944446,0.005913
2027.671783,0.006369
2031.399121,0.007604
2035.126459,0.007002
2038.853797,0.005969
2042.581135,0.007399
2046.308473,0.009798
2050.035810,0.010783
2053.763148,0.012251
2057.490486,0.013600
2061.217824,0.014378
2064.945162,0.014893
2068.672500,0.015457
2072.399837,0.014644
2076.127175,0.014813
2079.854513,0.015398
2083.581851,0.016717
2087.309189,0.017359
2091.036527,0.016599
2094.763865,0.015936
2098.491202,0.015872
2102.218540,0.016361
2105.945878,0.017035
2109.673216,0.017300
2113.400554,0.017305
2117.127892,0.016501
2120.855229,0.016389
2124.582567,0.015758
2128.309905,0.014458
2132.037243,0.014017
2135.764581,0.013397
2139.491919,0.011187
2143.219256,0.009975
2146.946594,0.008693
2150.673932,0.008011
2154.401270,0.005207
2158.128608,0.001215
2161.855946,0.002388
2165.583283,0.005070
2169.310621,0.006123
2173.037959,0.006692
2176.765297,0.005622
2180.492635,0.006593
2184.219973,0.008526
2187.947310,0.010114
2191.674648,0.010502
2195.401986,0.010907
2199.129324,0.011158
2202.856662,0.011606
2206.584000,0.011789
2210.311337,0.012184
2214.038675,0.012568
2217.766013,0.012860
2221.493351,0.013028
2225.220689,0.012793
2228.948027,0.012907
2232.675364,0.014214
2236.402702,0.014660
2240.130040,0.015162
2243.857378,0.015725
2247.584716,0.016235
2251.312054,0.016441
2255.039392,0.017016
2258.766729,0.017038
2262.494067,0.016671
2266.221405,0.017136
2269.948743,0.018220
2273.676081,0.019086
2277.403419,0.019738
2281.130756,0.019951
2284.858094,0.020469
2288.585432,0.021228
2292.312770,0.021298
2296.040108,0.020869
2299.767446,0.021192
2303.494783,0.021792
2307.222121,0.021768
