XLabelWavenumber,YLabelAbsorbance
648.556784,0.188441
652.284122,0.186180
656.011459,0.184982
659.738797,0.188837
663.466135,0.191248
667.193473,0.188078
670.920811,0.183493
674.648149,0.182305
678.375486,0.179496
682.102824,0.175542
685.830162,0.173561
689.557500,0.172449
693.284838,0.170572
697.012176,0.171238
700.739513,0.172033
704.466851,0.170277
708.194189,0.168313
711.921527,0.165464
715.648865,0.161741
719.376203,0.158692
723.103540,0.154566
726.830878,0.151183
730.558216,0.149859
734.285554,0.150034
738.012892,0.151785
741.740230,0.153734
745.467567,0.154904
749.194905,0.154482
752.922243,0.153150
756.649581,0.155594
760.376919,0.161621
764.104257,0.162337
767.831594,0.157090
771.558932,0.153618
775.286270,0.151512
779.013608,0.148779
782.740946,0.146144
786.468284,0.143758
790.195621,0.141327
793.922959,0.139866
797.650297,0.140617
801.377635,0.142980
805.104973,0.144684
808.832311,0.143972
812.559649,0.140831
816.286986,0.135185
820.014324,0.126794
823.741662,0.118351
827.469000,0.112723
831.196338,0.110277
834.923676,0.110024
838.651013,0.110356
842.378351,0.111149
846.105689,0.112547
849.833027,0.114164
853.560365,0.116096
857.287703,0.118670
861.015040,0.121932
864.742378,0.125920
868.469716,0.129904
872.197054,0.131038
875.924392,0.129057
879.651730,0.127156
883.379067,0.126216
887.106405,0.125355
890.833743,0.124541
894.561081,0.123346
898.288419,0.121418
902.015757,0.119460
905.743094,0.118486
909.470432,0.118995
913.197770,0.120303
916.925108,0.121438
920.652446,0.122387
924.379784,0.124518
928.107121,0.128868
931.834459,0.133972
935.561797,0.137633
939.289135,0.139555
943.016473,0.140599
946.743811,0.142152
950.471148,0.145464
954.198486,0.150044
957.925824,0.154519
961.653162,0.158332
965.380500,0.162068
969.107838,0.167001
972.835176,0.173496
976.562513,0.179876
980.289851,0.184973
984.017189,0.189941
987.744527,0.196460
991.471865,0.205406
995.199203,0.216761
998.926540,0.229433
1002.653878,0.242053
1006.381216,0.253983
1010.108554,0.264196
1013.835892,0.270636
1017.563230,0.275391
