XLabelWavenumber,YLabelAbsorbance
648.556784,0.190754
652.284122,0.189876
656.011459,0.190844
659.738797,0.189393
663.466135,0.187580
667.193473,0.186184
670.920811,0.184767
674.648149,0.182469
678.375486,0.179071
682.102824,0.175826
685.830162,0.174704
689.557500,0.173205
693.284838,0.170329
697.012176,0.170726
700.739513,0.171772
704.466851,0.172613
708.194189,0.175557
711.921527,0.176872
715.648865,0.175264
719.376203,0.172355
723.103540,0.166625
726.830878,0.159565
730.558216,0.155054
734.285554,0.152797
738.012892,0.151085
741.740230,0.150529
745.467567,0.149401
749.194905,0.147112
752.922243,0.145480
756.649581,0.147003
760.376919,0.149815
764.104257,0.148993
767.831594,0.145631
771.558932,0.142613
775.286270,0.140522
779.013608,0.139540
782.740946,0.138350
786.468284,0.136737
790.195621,0.136005
793.922959,0.136082
797.650297,0.137209
801.377635,0.140257
805.104973,0.144714
808.832311,0.148378
812.559649,0.148208
816.286986,0.142568
820.014324,0.132093
823.741662,0.121135
827.469000,0.115148
831.196338,0.114487
834.923676,0.115473
838.651013,0.116323
842.378351,0.117860
846.105689,0.120339
849.833027,0.122940
853.560365,0.125616
857.287703,0.129470
861.015040,0.134878
864.742378,0.140427
868.469716,0.143474
872.197054,0.142838
875.924392,0.140373
879.651730,0.138273
883.379067,0.137187
887.106405,0.136812
890.833743,0.137131
894.561081,0.137794
898.288419,0.137497
902.015757,0.135705
905.743094,0.134485
909.470432,0.135399
913.197770,0.137517
916.925108,0.139627
920.652446,0.142122
924.379784,0.145682
928.107121,0.149781
931.834459,0.153922
935.561797,0.157917
939.289135,0.161307
943.016473,0.164124
946.743811,0.166734
950.471148,0.169940
954.198486,0.174192
957.925824,0.178486
961.653162,0.182104
965.380500,0.185911
969.107838,0.191166
972.835176,0.197976
976.562513,0.205328
980.289851,0.212689
984.017189,0.220148
987.744527,0.227437
991.471865,0.234546
995.199203,0.241679
998.926540,0.248605
1002.653878,0.254934
1006.381216,0.259904
1010.108554,0.262633
1013.835892,0.263967
1017.563230,0.265844
1021.290567,0.267725
1025.017905,0.267915
1028.745243,0.265340
1032.472581,0.259813
1036.199919,0.253001
1039.927257,0.247558
1043.654594,0.244340
1047.381932,0.242862
1051.109270,0.242321
1054.836608,0.240973
1058.563946,0.237295
1062.291284,0.231573
1066.018621,0.225339
1069.745959,0.219804
1073.473297,0.215250
1077.200635,0.211471
1080.927973,0.208166
1084.655311,0.205029
1088.382648,0.201468
1092.109986,0.197046
1095.837324,0.191547
1099.564662,0.185480
1103.292000,0.179833
1107.019338,0.175489
1110.746675,0.172758
1114.474013,0.170750
1118.201351,0.167923
1121.928689,0.163659
1125.656027,0.159434
1129.383365,0.157644
1133.110703,0.159349
1136.838040,0.164353
1140.565378,0.170097
1144.292716,0.173706
1148.020054,0.174876
1151.747392,0.174742
1155.474730,0.173965
1159.202067,0.172184
1162.929405,0.168662
1166.656743,0.163521
1170.384081,0.157256
1174.111419,0.150448
1177.838757,0.143708
1181.566094,0.137644
1185.293432,0.132937
1189.020770,0.129906
1192.748108,0.128278
1196.475446,0.127565
1200.202784,0.127202
1203.930121,0.127051
1207.657459,0.127183
1211.384797,0.127609
1215.112135,0.128170
1218.839473,0.128986
1222.566811,0.130629
1226.294148,0.133230
1230.021486,0.135921
1233.748824,0.138321
1237.476162,0.139716
1241.203500,0.139083
1244.930838,0.136967
1248.658175,0.134854
1252.385513,0.133241
1256.112851,0.131975
1259.840189,0.130828
