XLabelWavenumber,YLabelAbsorbance
648.556784,0.209663
652.284122,0.207353
656.011459,0.207529
659.738797,0.210745
663.466135,0.210329
667.193473,0.205080
670.920811,0.201367
674.648149,0.199948
678.375486,0.198337
682.102824,0.193988
685.830162,0.189918
689.557500,0.188299
693.284838,0.188169
697.012176,0.188852
700.739513,0.189567
704.466851,0.192152
708.194189,0.194042
711.921527,0.193308
715.648865,0.192035
719.376203,0.188847
723.103540,0.182519
726.830878,0.175446
730.558216,0.169669
734.285554,0.165914
738.012892,0.163717
741.740230,0.162534
745.467567,0.160809
749.194905,0.158422
752.922243,0.156485
756.649581,0.156568
760.376919,0.159071
764.104257,0.159163
767.831594,0.154856
771.558932,0.151137
775.286270,0.148983
779.013608,0.147596
782.740946,0.146371
786.468284,0.144593
790.195621,0.142978
793.922959,0.142499
797.650297,0.143323
801.377635,0.145498
805.104973,0.149151
808.832311,0.152606
812.559649,0.153148
816.286986,0.148325
820.014324,0.137907
823.741662,0.126474
827.469000,0.119717
831.196338,0.118179
834.923676,0.118718
838.651013,0.119378
842.378351,0.120141
846.105689,0.121445
849.833027,0.123346
853.560365,0.125652
857.287703,0.128813
861.015040,0.133609
864.742378,0.139298
868.469716,0.142845
872.197054,0.142607
875.924392,0.140214
879.651730,0.137913
883.379067,0.136490
887.106405,0.135755
890.833743,0.135662
894.561081,0.136120
898.288419,0.135964
902.015757,0.134372
905.743094,0.132948
909.470432,0.133329
913.197770,0.135008
916.925108,0.136607
920.652446,0.138474
924.379784,0.141648
928.107121,0.145458
931.834459,0.149484
935.561797,0.153829
939.289135,0.157665
943.016473,0.160351
946.743811,0.162456
950.471148,0.165304
954.198486,0.169428
957.925824,0.173577
961.653162,0.176708
965.380500,0.179633
969.107838,0.183732
972.835176,0.189884
976.562513,0.197424
980.289851,0.204895
984.017189,0.212155
987.744527,0.219474
991.471865,0.226860
995.199203,0.234324
998.926540,0.241812
1002.653878,0.248842
1006.381216,0.254372
1010.108554,0.257527
1013.835892,0.259246
1017.563230,0.261606
1021.290567,0.264151
1025.017905,0.264891
1028.745243,0.262720
1032.472581,0.257076
1036.199919,0.249578
1039.927257,0.243691
1043.654594,0.240468
1047.381932,0.239188
1051.109270,0.239286
1054.836608,0.238942
1058.563946,0.236181
1062.291284,0.230921
1066.018621,0.224742
1069.745959,0.219313
1073.473297,0.215217
1077.200635,0.212033
1080.927973,0.209306
1084.655311,0.206771
1088.382648,0.203905
1092.109986,0.200071
1095.837324,0.194865
1099.564662,0.188510
1103.292000,0.182442
1107.019338,0.178204
1110.746675,0.175886
1114.474013,0.174419
1118.201351,0.171863
1121.928689,0.167136
1125.656027,0.162090
1129.383365,0.159854
1133.110703,0.162040
1136.838040,0.168164
1140.565378,0.175168
1144.292716,0.179735
1148.020054,0.181495
1151.747392,0.181744
1155.474730,0.181322
1159.202067,0.179906
1162.929405,0.176655
1166.656743,0.171437
1170.384081,0.164870
1174.111419,0.157579
1177.838757,0.150160
1181.566094,0.143497
1185.293432,0.138326
1189.020770,0.134770
1192.748108,0.132536
1196.475446,0.131409
1200.202784,0.130850
1203.930121,0.130560
1207.657459,0.130730
1211.384797,0.131243
1215.112135,0.131732
1218.839473,0.132407
1222.566811,0.133973
1226.294148,0.136626
1230.021486,0.139592
1233.748824,0.142315
1237.476162,0.143967
1241.203500,0.143594
1244.930838,0.141517
1248.658175,0.139169
1252.385513,0.137499
1256.112851,0.136280
1259.840189,0.135100
1263.567527,0.133881
1267.294865,0.132631
1271.022202,0.131552
1274.749540,0.130557
1278.476878,0.129655
1282.204216,0.128528
1285.931554,0.126923
1289.658892,0.125051
1293.386230,0.123382
1297.113567,0.122549
1300.840905,0.122486
1304.568243,0.122312
1308.295581,0.121715
1312.022919,0.120947
1315.750257,0.120384
1319.477594,0.119542
1323.204932,0.118088
1326.932270,0.117040
1330.659608,0.116811
1334.386946,0.116842
1338.114284,0.118455
1341.841621,0.120125
1345.568959,0.120710
1349.296297,0.122517
1353.023635,0.125690
1356.750973,0.128428
1360.478311,0.131698
1364.205648,0.135104
1367.932986,0.135283
1371.660324,0.135509
1375.387662,0.137155
1379.115000,0.134300
1382.842338,0.128099
1386.569675,0.123185
1390.297013,0.119233
1394.024351,0.117229
1397.751689,0.116748
1401.479027,0.114650
1405.206365,0.112910
1408.933702,0.112741
1412.661040,0.112738
1416.388378,0.113144
1420.115716,0.113594
1423.843054,0.111560
1427.570392,0.111196
1431.297729,0.112314
1435.025067,0.115571
1438.752405,0.118226
1442.479743,0.117213
1446.207081,0.117530
1449.934419,0.118084
1453.661757,0.118573
1457.389094,0.121485
1461.116432,0.118356
1464.843770,0.112572
1468.571108,0.101413
1472.298446,0.086588
1476.025784,0.076355
1479.753121,0.073068
1483.480459,0.070933
1487.207797,0.071837
1490.935135,0.074423
1494.662473,0.075718
1498.389811,0.078438
1502.117148,0.077165
1505.844486,0.080645
1509.571824,0.087687
1513.299162,0.086274
1517.026500,0.086268
1520.753838,0.089403
1524.481175,0.091051
1528.208513,0.089817
1531.935851,0.088979
1535.663189,0.087873
1539.390527,0.091145
1543.117865,0.097556
1546.845202,0.095751
1550.572540,0.093818
1554.299878,0.091900
1558.027216,0.097814
1561.754554,0.099545
1565.481892,0.096503
1569.209229,0.097672
1572.936567,0.099677
1576.663905,0.104012
1580.391243,0.105714
1584.118581,0.105953
1587.845919,0.107035
1591.573256,0.108216
1595.300594,0.109082
1599.027932,0.109137
1602.755270,0.108360
1606.482608,0.107483
1610.209946,0.105394
1613.937284,0.104220
1617.664621,0.105174
1621.391959,0.105500
1625.119297,0.107956
1628.846635,0.108393
1632.573973,0.108431
1636.301311,0.114863
1640.028648,0.114952
1643.755986,0.113519
1647.483324,0.114128
1651.210662,0.116080
1654.938000,0.116098
1658.665338,0.110195
1662.392675,0.105429
1666.120013,0.100637
1669.847351,0.096828
1673.574689,0.093268
1677.302027,0.088752
1681.029365,0.086019
