XLabelWavenumber,YLabelAbsorbance
648.556784,0.162474
652.284122,0.169590
656.011459,0.172387
659.738797,0.168767
663.466135,0.166597
667.193473,0.165780
670.920811,0.164624
674.648149,0.164711
678.375486,0.160923
682.102824,0.156639
685.830162,0.155500
689.557500,0.155178
693.284838,0.155856
697.012176,0.156308
700.739513,0.156849
704.466851,0.159085
708.194189,0.160822
711.921527,0.160737
715.648865,0.159849
719.376203,0.158544
723.103540,0.153310
726.830878,0.145526
730.558216,0.140201
734.285554,0.136799
738.012892,0.135251
741.740230,0.135532
745.467567,0.134767
749.194905,0.132445
752.922243,0.131083
756.649581,0.132567
760.376919,0.135393
764.104257,0.135456
767.831594,0.131998
771.558932,0.129048
775.286270,0.127319
779.013608,0.126524
782.740946,0.126636
786.468284,0.126033
790.195621,0.125069
793.922959,0.125298
797.650297,0.127515
801.377635,0.131600
805.104973,0.136623
808.832311,0.140193
812.559649,0.139612
816.286986,0.133292
820.014324,0.122100
823.741662,0.110484
827.469000,0.103949
831.196338,0.102829
834.923676,0.103339
838.651013,0.104685
842.378351,0.106958
846.105689,0.109645
849.833027,0.112448
853.560365,0.115190
857.287703,0.119201
861.015040,0.125196
864.742378,0.130800
868.469716,0.132854
872.197054,0.131187
875.924392,0.128395
879.651730,0.126384
883.379067,0.125145
887.106405,0.124635
890.833743,0.124825
894.561081,0.125000
898.288419,0.124450
902.015757,0.123092
905.743094,0.122119
909.470432,0.122750
913.197770,0.124437
916.925108,0.126179
920.652446,0.128472
924.379784,0.132319
928.107121,0.136961
931.834459,0.141135
935.561797,0.145062
939.289135,0.148438
943.016473,0.150711
946.743811,0.152294
950.471148,0.154352
954.198486,0.157599
957.925824,0.161129
961.653162,0.164171
965.380500,0.167251
969.107838,0.171392
972.835176,0.177187
976.562513,0.183893
980.289851,0.190426
984.017189,0.196868
987.744527,0.203469
991.471865,0.210119
995.199203,0.216666
998.926540,0.222855
1002.653878,0.228358
1006.381216,0.232150
1010.108554,0.233508
1013.835892,0.233796
1017.563230,0.235054
1021.290567,0.236568
1025.017905,0.236514
1028.745243,0.234011
1032.472581,0.229024
1036.199919,0.223026
1039.927257,0.218472
1043.654594,0.215993
1047.381932,0.214910
1051.109270,0.214848
1054.836608,0.214516
1058.563946,0.212284
1062.291284,0.207980
1066.018621,0.202739
1069.745959,0.198091
1073.473297,0.194601
1077.200635,0.191934
1080.927973,0.189656
1084.655311,0.187513
1088.382648,0.184963
1092.109986,0.181286
1095.837324,0.176050
1099.564662,0.169796
1103.292000,0.163979
1107.019338,0.160143
1110.746675,0.158403
1114.474013,0.157258
1118.201351,0.154700
1121.928689,0.150258
1125.656027,0.146039
1129.383365,0.144934
1133.110703,0.148179
1136.838040,0.154983
1140.565378,0.162080
1144.292716,0.166342
1148.020054,0.167570
1151.747392,0.167265
1155.474730,0.166246
1159.202067,0.164341
1162.929405,0.160941
1166.656743,0.155958
1170.384081,0.149771
1174.111419,0.142738
1177.838757,0.135448
1181.566094,0.128814
1185.293432,0.123423
1189.020770,0.119521
1192.748108,0.116902
1196.475446,0.115402
1200.202784,0.114654
1203.930121,0.114306
1207.657459,0.114342
1211.384797,0.114858
1215.112135,0.115313
1218.839473,0.115820
