XLabelWavenumber,YLabelAbsorbance
648.556784,0.232110
652.284122,0.232116
656.011459,0.231806
659.738797,0.233564
663.466135,0.232475
667.193473,0.231882
670.920811,0.228482
674.648149,0.224085
678.375486,0.221441
682.102824,0.217597
685.830162,0.212811
689.557500,0.211060
693.284838,0.209942
697.012176,0.208701
700.739513,0.209948
704.466851,0.211617
708.194189,0.212770
711.921527,0.212800
715.648865,0.211523
719.376203,0.208605
723.103540,0.202751
726.830878,0.195586
730.558216,0.189365
734.285554,0.185350
738.012892,0.183355
741.740230,0.183031
745.467567,0.181542
749.194905,0.177721
752.922243,0.175120
756.649581,0.176582
760.376919,0.179139
764.104257,0.177776
767.831594,0.172739
771.558932,0.168344
775.286270,0.166276
779.013608,0.165634
782.740946,0.164700
786.468284,0.163276
790.195621,0.161974
793.922959,0.161816
797.650297,0.163917
801.377635,0.168536
805.104973,0.174466
808.832311,0.179038
812.559649,0.179075
816.286986,0.171724
820.014324,0.157008
823.741662,0.141095
827.469000,0.131258
831.196338,0.128524
834.923676,0.129273
838.651013,0.130431
842.378351,0.131882
846.105689,0.133920
849.833027,0.136547
853.560365,0.140199
857.287703,0.145345
861.015040,0.153093
864.742378,0.161151
868.469716,0.164756
872.197054,0.162987
875.924392,0.158815
879.651730,0.155379
883.379067,0.153329
887.106405,0.151987
890.833743,0.151718
894.561081,0.152073
898.288419,0.151191
902.015757,0.148815
905.743094,0.147188
909.470432,0.147889
913.197770,0.150077
916.925108,0.152427
920.652446,0.154892
924.379784,0.158577
928.107121,0.163861
931.834459,0.169580
935.561797,0.175057
939.289135,0.179696
943.016473,0.182546
946.743811,0.184228
950.471148,0.186601
954.198486,0.190805
957.925824,0.195712
961.653162,0.199746
965.380500,0.203587
969.107838,0.209263
972.835176,0.217398
976.562513,0.226649
980.289851,0.235940
984.017189,0.245510
987.744527,0.255582
991.471865,0.265648
995.199203,0.275639
998.926540,0.285495
1002.653878,0.294204
1006.381216,0.300572
1010.108554,0.303544
1013.835892,0.304386
1017.563230,0.306588
1021.290567,0.309862
1025.017905,0.310938
1028.745243,0.308018
1032.472581,0.300771
1036.199919,0.291270
1039.927257,0.283634
1043.654594,0.279834
1047.381932,0.279217
1051.109270,0.280393
1054.836608,0.280750
1058.563946,0.277767
1062.291284,0.271369
1066.018621,0.263536
1069.745959,0.256654
1073.473297,0.251586
1077.200635,0.247841
1080.927973,0.244765
1084.655311,0.241788
1088.382648,0.238308
1092.109986,0.233330
1095.837324,0.226012
1099.564662,0.217346
1103.292000,0.209465
1107.019338,0.204075
1110.746675,0.201478
1114.474013,0.200046
1118.201351,0.197255
1121.928689,0.191870
1125.656027,0.186006
1129.383365,0.183456
1133.110703,0.186420
1136.838040,0.194297
1140.565378,0.202993
1144.292716,0.208354
1148.020054,0.209794
1151.747392,0.208968
1155.474730,0.207390
1159.202067,0.205251
1162.929405,0.201531
1166.656743,0.195669
1170.384081,0.188228
1174.111419,0.180027
1177.838757,0.171900
1181.566094,0.164673
1185.293432,0.158845
1189.020770,0.154734
1192.748108,0.152153
1196.475446,0.150827
1200.202784,0.150291
1203.930121,0.150212
1207.657459,0.150566
1211.384797,0.151156
1215.112135,0.151612
1218.839473,0.152352
1222.566811,0.154172
1226.294148,0.157215
1230.021486,0.160758
1233.748824,0.164035
1237.476162,0.165896
1241.203500,0.165171
1244.930838,0.162352
1248.658175,0.159447
1252.385513,0.157322
1256.112851,0.155692
1259.840189,0.154208
1263.567527,0.152620
1267.294865,0.150953
1271.022202,0.149547
1274.749540,0.148334
1278.476878,0.147387
1282.204216,0.146074
1285.931554,0.144097
1289.658892,0.141647
1293.386230,0.139382
1297.113567,0.138253
1300.840905,0.138275
1304.568243,0.138138
1308.295581,0.137318
1312.022919,0.136284
1315.750257,0.135447
1319.477594,0.134431
1323.204932,0.132790
1326.932270,0.131369
1330.659608,0.130800
1334.386946,0.130587
1338.114284,0.132277
1341.841621,0.134217
1345.568959,0.135185
1349.296297,0.137543
1353.023635,0.141312
1356.750973,0.144620
1360.478311,0.148437
1364.205648,0.152196
1367.932986,0.152406
1371.660324,0.152591
1375.387662,0.154007
1379.115000,0.150579
1382.842338,0.143624
1386.569675,0.137905
1390.297013,0.133324
1394.024351,0.131199
1397.751689,0.130876
1401.479027,0.128626
1405.206365,0.126781
1408.933702,0.126434
1412.661040,0.126476
1416.388378,0.127220
1420.115716,0.128160
1423.843054,0.126329
1427.570392,0.126291
1431.297729,0.127266
1435.025067,0.130054
1438.752405,0.132562
1442.479743,0.131398
1446.207081,0.131434
1449.934419,0.131857
1453.661757,0.131976
1457.389094,0.134283
1461.116432,0.130096
1464.843770,0.123677
1468.571108,0.111809
1472.298446,0.096166
1476.025784,0.085285
1479.753121,0.081788
1483.480459,0.079752
1487.207797,0.080727
1490.935135,0.083283
1494.662473,0.084350
1498.389811,0.087425
1502.117148,0.086456
1505.844486,0.090780
1509.571824,0.098697
1513.299162,0.097432
1517.026500,0.097708
1520.753838,0.100473
1524.481175,0.101833
1528.208513,0.100545
1531.935851,0.099485
1535.663189,0.098193
1539.390527,0.101454
1543.117865,0.108325
1546.845202,0.106170
1550.572540,0.104006
1554.299878,0.101298
1558.027216,0.106923
1561.754554,0.108681
1565.481892,0.105569
1569.209229,0.107270
1572.936567,0.109639
1576.663905,0.114684
1580.391243,0.117431
1584.118581,0.118441
1587.845919,0.120271
1591.573256,0.122234
1595.300594,0.123850
1599.027932,0.124370
1602.755270,0.123900
1606.482608,0.122946
1610.209946,0.120839
1613.937284,0.119843
1617.664621,0.121506
1621.391959,0.122348
1625.119297,0.125058
1628.846635,0.125708
1632.573973,0.125943
1636.301311,0.133184
1640.028648,0.133542
1643.755986,0.132356
1647.483324,0.133519
1651.210662,0.135562
1654.938000,0.136019
1658.665338,0.129139
1662.392675,0.123020
1666.120013,0.117044
1669.847351,0.112046
1673.574689,0.107050
1677.302027,0.101505
1681.029365,0.098637
1684.756702,0.102339
1688.484040,0.103106
1692.211378,0.102241
1695.938716,0.104720
1699.666054,0.110566
1703.393392,0.110407
1707.120729,0.106653
1710.848067,0.101475
1714.575405,0.098232
1718.302743,0.098815
